# {"arm": "left", "target_base_y": 0.086332, "hover_height_m": 0.12, "y_tolerance_m": 0.005, "grid_x_min": -0.256004, "grid_z_min": -0.321837, "recorded_at": "2026-04-14T17:39:45"}
cam_x,cam_y,cam_z,base_x,base_y,base_z,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
-0.015767,-0.058433,0.546229,-0.198492,0.081355,-0.155504,2146,1987,2374,2776,2329,1994
-0.011821,-0.059245,0.562394,-0.211518,0.083148,-0.145273,2108,1983,2374,2776,2329,1994
-0.011809,-0.058437,0.551190,-0.204662,0.081555,-0.154028,2110,1984,2374,2776,2329,1994
-0.011588,-0.060544,0.572576,-0.217934,0.085149,-0.137512,2115,1984,2374,2776,2329,1994
-0.013048,-0.058530,0.564535,-0.211872,0.082633,-0.142782,2117,1987,2375,2776,2329,1994
-0.012118,-0.058525,0.564493,-0.212580,0.082590,-0.143384,2117,1987,2374,2776,2329,1994
-0.012118,-0.058525,0.564493,-0.212580,0.082590,-0.143384,2117,1987,2374,2776,2329,1994
-0.012118,-0.058525,0.564493,-0.212580,0.082590,-0.143384,2117,1987,2374,2776,2329,1994
-0.062921,-0.073579,0.446614,-0.099940,0.091271,-0.206151,2521,1984,2292,2868,2598,1994
-0.059058,-0.071746,0.427447,-0.091250,0.087949,-0.223445,2521,1985,2287,2879,2598,1994
-0.058076,-0.072020,0.424104,-0.089969,0.087949,-0.226698,2523,1986,2279,2914,2598,1994
-0.060520,-0.072869,0.427825,-0.090312,0.089151,-0.222341,2526,1986,2276,2931,2597,1994
-0.069850,-0.072554,0.428123,-0.083134,0.089218,-0.216366,2534,1992,2259,2977,2597,1994
-0.067888,-0.072384,0.423646,-0.081938,0.088658,-0.221075,2532,1992,2259,2975,2597,1994
-0.068098,-0.071337,0.422407,-0.081025,0.087536,-0.221838,2535,1992,2259,2975,2597,1994
-0.068816,-0.071915,0.423635,-0.081204,0.088225,-0.220479,2535,1992,2259,2975,2597,1994
-0.068816,-0.071915,0.423635,-0.081204,0.088225,-0.220479,2534,1993,2262,2974,2597,1994
-0.069079,-0.072148,0.428130,-0.083753,0.088784,-0.216801,2533,1996,2265,2974,2597,1994
-0.069140,-0.071135,0.428094,-0.083695,0.087774,-0.216711,2532,2003,2265,2974,2596,1994
-0.069279,-0.068836,0.432695,-0.086439,0.085811,-0.212827,2532,2025,2265,2974,2593,1994
-0.055133,-0.069329,0.436525,-0.099950,0.086027,-0.218520,2528,2083,2167,2973,2597,1994
-0.053284,-0.071373,0.433452,-0.099498,0.087776,-0.222231,2532,2083,2162,2973,2597,1994
-0.051051,-0.069176,0.413625,-0.089120,0.084108,-0.239018,2535,2083,2162,2973,2598,1994
-0.052545,-0.070266,0.413570,-0.087894,0.085248,-0.238231,2544,2083,2162,2974,2598,1994
-0.053282,-0.069748,0.409631,-0.084901,0.084483,-0.240836,2552,2084,2164,2974,2599,1994
-0.056716,-0.072095,0.425186,-0.091706,0.088048,-0.226686,2560,2084,2167,2974,2609,1994
-0.061093,-0.069767,0.417726,-0.083702,0.085372,-0.229687,2577,2084,2166,2975,2627,1994
-0.073594,-0.068470,0.390620,-0.057215,0.082657,-0.243242,2634,2084,2162,2974,2677,1994
-0.078341,-0.070737,0.399862,-0.059111,0.085748,-0.233245,2647,2084,2162,2974,2687,1994
-0.094158,-0.068022,0.369174,-0.027825,0.081496,-0.247473,2701,2087,2148,2973,2736,1994
-0.087547,-0.069297,0.369506,-0.033232,0.082535,-0.251364,2694,2135,2104,2973,2737,1994
-0.086856,-0.068137,0.369972,-0.034077,0.081385,-0.251328,2694,2153,2093,2974,2737,1994
-0.088347,-0.067815,0.379556,-0.038787,0.081794,-0.242852,2694,2170,2082,2974,2738,1994
-0.075201,-0.072959,0.346214,-0.028637,0.084074,-0.277533,2729,2264,1917,2982,2793,1994
0.016141,-0.069578,0.441660,-0.159364,0.083890,-0.258167,2448,2329,1821,3034,2574,1994
0.015806,-0.068046,0.436130,-0.155725,0.081987,-0.262188,2444,2338,1821,3036,2574,1994
-0.027451,-0.070834,0.428638,-0.116944,0.085906,-0.241800,2464,2137,2083,2982,2500,1994
-0.025894,-0.070313,0.419189,-0.112380,0.084663,-0.250143,2464,2138,2085,2982,2500,1994
-0.024967,-0.069541,0.418483,-0.112689,0.083808,-0.251205,2463,2142,2087,2982,2500,1994
-0.025218,-0.069012,0.424258,-0.116041,0.083696,-0.246468,2463,2148,2088,2982,2500,1994
-0.024401,-0.065701,0.442506,-0.127928,0.081646,-0.232356,2441,2161,2083,2984,2477,1994
-0.019857,-0.066760,0.458501,-0.141317,0.083651,-0.222646,2412,2161,2083,2984,2460,1994
-0.014918,-0.066040,0.458811,-0.145416,0.082765,-0.225371,2392,2161,2083,2984,2457,1994
-0.010325,-0.067111,0.464909,-0.152771,0.084084,-0.223474,2374,2160,2082,2984,2442,1994
-0.008105,-0.067838,0.468376,-0.156642,0.084966,-0.222165,2359,2160,2082,2984,2431,1994
-0.007005,-0.067795,0.471111,-0.159189,0.085073,-0.220685,2350,2160,2082,2983,2429,1994
-0.004355,-0.065371,0.459500,-0.154186,0.081739,-0.231247,2341,2160,2082,2983,2422,1994
-0.002750,-0.068024,0.481224,-0.168752,0.085848,-0.215357,2345,2160,2082,2983,2424,1994
-0.004355,-0.065371,0.459500,-0.154186,0.081739,-0.231247,2368,2160,2082,2983,2428,1994
-0.018489,-0.074498,0.386605,-0.098176,0.086261,-0.280635,2566,2302,1834,3035,2698,1994
-0.018996,-0.075822,0.387954,-0.098586,0.087695,-0.279368,2566,2302,1832,3049,2698,1994
-0.027278,-0.070373,0.373070,-0.082983,0.081537,-0.285569,2570,2303,1822,3120,2697,1994
-0.028501,-0.070365,0.373037,-0.081997,0.081573,-0.284845,2570,2303,1821,3122,2696,1994
-0.029121,-0.070994,0.373121,-0.081551,0.082230,-0.284448,2570,2303,1821,3120,2696,1994
-0.029507,-0.071851,0.373867,-0.081694,0.083152,-0.283693,2570,2303,1821,3117,2696,1994
-0.028409,-0.071381,0.369861,-0.080108,0.082359,-0.287479,2569,2307,1821,3115,2696,1994
-0.028140,-0.070924,0.372437,-0.081907,0.082075,-0.285582,2569,2311,1821,3114,2696,1994
-0.041388,-0.079822,0.351824,-0.058685,0.090006,-0.294379,2637,2315,1766,3124,2751,1994
-0.050218,-0.077788,0.340913,-0.045044,0.087553,-0.297389,2663,2316,1765,3123,2781,1994
-0.050786,-0.078585,0.340973,-0.044623,0.088373,-0.297057,2660,2316,1765,3121,2780,1994
-0.050506,-0.078309,0.340981,-0.044852,0.088088,-0.297201,2656,2316,1765,3117,2779,1994
-0.014965,-0.072012,0.359715,-0.084486,0.081758,-0.303743,2578,2386,1679,3124,2679,1994
-0.018250,-0.079240,0.372036,-0.089362,0.089955,-0.292614,2593,2390,1658,3142,2783,1994
-0.024826,-0.073243,0.358227,-0.075773,0.083260,-0.298970,2601,2399,1653,3187,2747,1994
-0.024562,-0.072620,0.355557,-0.074351,0.082441,-0.301182,2598,2399,1653,3187,2747,1994
-0.024547,-0.073287,0.358448,-0.076129,0.083309,-0.298971,2597,2399,1653,3187,2748,1994
-0.024443,-0.074025,0.362431,-0.078646,0.084320,-0.295960,2594,2399,1653,3187,2749,1994
-0.022576,-0.074078,0.369021,-0.084163,0.084764,-0.291926,2592,2403,1653,3187,2750,1994
-0.000066,-0.080514,0.323255,-0.073764,0.087098,-0.342216,2617,2557,1388,3131,2798,1994
0.020758,-0.073067,0.360973,-0.113446,0.081522,-0.324723,2514,2554,1386,3206,2544,1994
0.020851,-0.074679,0.363703,-0.115174,0.083317,-0.322761,2513,2554,1386,3206,2558,1994
0.020733,-0.073309,0.356702,-0.110801,0.081464,-0.328085,2513,2554,1386,3207,2586,1994
0.021690,-0.073641,0.359864,-0.113494,0.081980,-0.326211,2517,2554,1386,3207,2664,1994
0.026885,-0.071457,0.400924,-0.142821,0.082488,-0.296932,2443,2476,1528,3207,2577,1994
0.026495,-0.071277,0.394580,-0.138623,0.081878,-0.301668,2439,2476,1528,3207,2556,1994
0.027236,-0.072604,0.399819,-0.142406,0.083540,-0.298106,2435,2476,1528,3207,2534,1994
0.027230,-0.071932,0.399737,-0.142359,0.082864,-0.298114,2433,2477,1529,3207,2515,1994
0.027568,-0.071523,0.405352,-0.146077,0.082839,-0.293874,2426,2477,1529,3207,2497,1994
0.028203,-0.071251,0.404377,-0.145984,0.082474,-0.295008,2423,2477,1529,3207,2501,1994
0.029442,-0.071761,0.404730,-0.147173,0.082959,-0.295529,2420,2477,1529,3207,2503,1994
0.029785,-0.071785,0.404880,-0.147535,0.082981,-0.295624,2420,2477,1528,3206,2503,1994
0.030915,-0.071629,0.403914,-0.147836,0.082714,-0.297063,2417,2477,1527,3206,2504,1994
0.033308,-0.074894,0.424584,-0.162368,0.087328,-0.282533,2417,2477,1524,3205,2504,1994
0.032664,-0.070946,0.405531,-0.150217,0.082079,-0.296809,2415,2477,1520,3205,2504,1994
0.034097,-0.071549,0.408186,-0.152970,0.082812,-0.295646,2408,2478,1516,3205,2504,1994
0.035021,-0.072099,0.409263,-0.154354,0.083400,-0.295409,2403,2478,1515,3203,2504,1994
0.038472,-0.075901,0.426976,-0.167900,0.088302,-0.283894,2399,2478,1514,3202,2504,1994
0.038714,-0.073528,0.412671,-0.159343,0.084922,-0.295104,2397,2478,1514,3201,2504,1994
0.039528,-0.074578,0.414564,-0.161133,0.086070,-0.294198,2396,2477,1514,3201,2504,1994
0.040548,-0.075016,0.414139,-0.161672,0.086438,-0.295192,2396,2477,1514,3201,2502,1994
0.040885,-0.074567,0.414506,-0.162169,0.086002,-0.295074,2395,2478,1514,3200,2499,1994
0.041090,-0.073869,0.412658,-0.161206,0.085169,-0.296598,2394,2478,1514,3200,2499,1994
0.040838,-0.073414,0.412684,-0.161029,0.084727,-0.296387,2391,2479,1514,3200,2497,1994
0.041720,-0.073185,0.414226,-0.162674,0.084574,-0.295696,2384,2479,1514,3200,2497,1994
0.041591,-0.071999,0.408877,-0.159305,0.083021,-0.299730,2379,2478,1514,3200,2496,1994
0.042736,-0.073466,0.417122,-0.165250,0.085017,-0.294063,2376,2478,1514,3200,2496,1994
0.044155,-0.074131,0.419086,-0.167567,0.085764,-0.293441,2374,2478,1514,3200,2496,1994
0.044888,-0.074730,0.421999,-0.169926,0.086537,-0.291646,2370,2478,1514,3200,2496,1994
0.045824,-0.074477,0.421864,-0.170585,0.086240,-0.292306,2366,2478,1514,3199,2496,1994
0.046672,-0.074240,0.423320,-0.172151,0.086073,-0.291662,2365,2478,1514,3199,2496,1994
0.048601,-0.073705,0.426430,-0.175589,0.085684,-0.290356,2363,2479,1513,3199,2496,1994
0.049023,-0.074033,0.428484,-0.177179,0.086139,-0.289025,2363,2482,1513,3198,2496,1994
0.049102,-0.073941,0.431545,-0.179121,0.086259,-0.286659,2361,2484,1511,3197,2496,1994
0.049834,-0.072777,0.428046,-0.177567,0.084825,-0.289767,2360,2487,1506,3197,2495,1994
0.049975,-0.071553,0.426162,-0.176537,0.083467,-0.291237,2360,2489,1499,3197,2495,1994
0.050425,-0.070370,0.422310,-0.174543,0.082000,-0.294449,2359,2489,1493,3197,2495,1994
0.051363,-0.070830,0.426036,-0.177565,0.082684,-0.292130,2359,2490,1488,3197,2495,1994
0.053790,-0.073434,0.432949,-0.183690,0.085672,-0.288386,2358,2490,1483,3197,2495,1994
0.054008,-0.072788,0.427307,-0.180408,0.084623,-0.292906,2357,2491,1481,3197,2495,1994
0.053971,-0.073445,0.427013,-0.180190,0.085259,-0.293166,2353,2492,1481,3197,2495,1994
0.053933,-0.072643,0.425072,-0.178979,0.084325,-0.294606,2352,2494,1480,3197,2495,1994
0.055051,-0.073127,0.427218,-0.181173,0.084914,-0.293642,2352,2498,1479,3197,2494,1994
0.055372,-0.073075,0.430659,-0.183538,0.085092,-0.291128,2352,2500,1479,3197,2494,1994
0.055771,-0.072781,0.431008,-0.184071,0.084808,-0.291076,2352,2501,1479,3197,2494,1994
0.055270,-0.071353,0.424902,-0.179946,0.082975,-0.295457,2354,2501,1480,3199,2494,1994
0.055020,-0.070973,0.426967,-0.181021,0.082751,-0.293650,2356,2501,1480,3205,2494,1994
0.053960,-0.070261,0.426915,-0.180161,0.082079,-0.292985,2358,2501,1485,3205,2494,1994
0.051450,-0.071301,0.428543,-0.179166,0.083326,-0.290250,2360,2497,1492,3206,2495,1994
0.049975,-0.071200,0.426164,-0.176542,0.083115,-0.291208,2361,2497,1493,3207,2495,1994
0.049122,-0.071353,0.427971,-0.176976,0.083427,-0.289277,2362,2497,1494,3207,2495,1994
0.048237,-0.070872,0.426315,-0.175268,0.082866,-0.289999,2368,2497,1495,3207,2495,1994
0.047504,-0.070823,0.426026,-0.174512,0.082825,-0.289774,2373,2497,1496,3207,2495,1994
0.046113,-0.069866,0.421310,-0.170531,0.081593,-0.292554,2376,2497,1498,3207,2495,1994
0.045277,-0.069957,0.423711,-0.171345,0.081885,-0.290161,2377,2496,1503,3207,2495,1994
0.044210,-0.069574,0.423495,-0.170375,0.081529,-0.289647,2379,2492,1512,3207,2495,1994
0.043552,-0.069540,0.435594,-0.177280,0.082370,-0.279726,2376,2488,1528,3207,2495,1994
0.042850,-0.070287,0.427123,-0.171518,0.082547,-0.286017,2376,2488,1520,3206,2496,1994
0.042661,-0.069889,0.421459,-0.167898,0.081759,-0.290324,2377,2488,1520,3206,2498,1994
