# {"arm": "right", "target_base_y": 0.112327, "hover_height_m": 0.12, "y_tolerance_m": 0.005, "grid_x_min": -0.292858, "grid_z_min": -0.2041, "recorded_at": "2026-04-14T21:02:27"}
cam_x,cam_y,cam_z,base_x,base_y,base_z,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.094316,-0.067609,0.500855,-0.172877,0.108284,-0.064546,1733,1809,2459,2788,1690,3109
0.094317,-0.068436,0.500858,-0.172874,0.109110,-0.064548,1733,1806,2459,2788,1690,3109
0.094317,-0.069262,0.500861,-0.172872,0.109936,-0.064550,1733,1803,2459,2788,1690,3109
0.094318,-0.070088,0.500864,-0.172869,0.110763,-0.064552,1733,1802,2459,2789,1690,3109
0.093471,-0.070045,0.498462,-0.175125,0.110719,-0.063371,1737,1802,2459,2792,1690,3109
0.094372,-0.071328,0.503495,-0.171037,0.112003,-0.066442,1744,1799,2459,2799,1690,3109
0.089943,-0.067760,0.478398,-0.191375,0.108435,-0.051084,1750,1797,2459,2808,1690,3109
0.092658,-0.070871,0.498501,-0.175694,0.111545,-0.063952,1754,1795,2458,2822,1690,3109
0.093363,-0.071464,0.500155,-0.174051,0.112139,-0.064683,1758,1793,2458,2837,1690,3109
0.095536,-0.072197,0.508439,-0.166818,0.112871,-0.069268,1761,1793,2458,2852,1690,3109
0.096041,-0.072112,0.506648,-0.167667,0.112787,-0.067613,1763,1793,2458,2867,1690,3109
0.097704,-0.071950,0.507896,-0.165600,0.112624,-0.067394,1763,1793,2457,2879,1690,3109
0.101070,-0.072874,0.517706,-0.156453,0.113549,-0.072283,1763,1793,2457,2888,1690,3109
0.102480,-0.072382,0.516163,-0.156472,0.113057,-0.070193,1760,1793,2457,2891,1690,3109
0.103913,-0.072065,0.516934,-0.154898,0.112740,-0.069781,1756,1793,2456,2891,1690,3109
0.103138,-0.071572,0.508723,-0.161059,0.112247,-0.064297,1754,1791,2455,2887,1690,3109
0.103976,-0.071677,0.509663,-0.159805,0.112351,-0.064415,1752,1787,2449,2885,1690,3109
0.103891,-0.072503,0.509535,-0.159954,0.113178,-0.064379,1743,1785,2442,2884,1690,3109
0.103834,-0.073878,0.511376,-0.158741,0.114553,-0.065765,1733,1784,2434,2884,1690,3109
0.102647,-0.075553,0.508103,-0.161839,0.116227,-0.064178,1726,1784,2426,2884,1690,3109
0.095380,-0.074804,0.476918,-0.188403,0.115478,-0.046297,1706,1796,2422,2838,1686,3109
0.095758,-0.075751,0.487029,-0.181239,0.116426,-0.053443,1706,1797,2428,2805,1686,3109
0.096745,-0.076009,0.496391,-0.174139,0.116683,-0.059624,1705,1797,2430,2790,1686,3109
0.094435,-0.075003,0.488510,-0.181199,0.115678,-0.055427,1700,1797,2435,2780,1686,3109
0.092629,-0.074889,0.487477,-0.183224,0.115564,-0.055902,1700,1797,2441,2772,1687,3109
0.093366,-0.075997,0.493655,-0.178476,0.116671,-0.059922,1700,1797,2447,2770,1687,3109
0.091875,-0.073582,0.485597,-0.185057,0.114256,-0.055039,1700,1797,2454,2770,1687,3109
0.093988,-0.073540,0.493551,-0.178092,0.114215,-0.059423,1699,1797,2460,2770,1687,3109
0.094773,-0.071587,0.492491,-0.178239,0.112261,-0.058112,1699,1797,2467,2770,1687,3109
0.096568,-0.070385,0.495462,-0.174902,0.111059,-0.059065,1699,1797,2474,2770,1687,3109
0.098374,-0.068639,0.496359,-0.172968,0.109314,-0.058491,1699,1797,2479,2771,1687,3109
0.122935,-0.069100,0.506496,-0.148081,0.109775,-0.049182,1666,1798,2439,2937,1640,3109
0.120529,-0.069734,0.495686,-0.157206,0.110409,-0.042906,1666,1798,2439,2937,1640,3109
0.118784,-0.070252,0.489332,-0.162813,0.110926,-0.039444,1666,1798,2438,2937,1645,3109
